eventID;artist;eventdate;venue;venue_id;city;city_id;city_lat;city_lon;state;state_id;country;country_id
1befa9a4;My Morning Jacket;05-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
53efbfa5;My Morning Jacket;03-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
13ee4171;My Morning Jacket;02-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
4be1d306;My Morning Jacket;31-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
63e1da6b;My Morning Jacket;30-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
43e1df23;My Morning Jacket;29-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
5be50bd4;My Morning Jacket;12-08-2017;MASS MoCA;7bd73680;North Adams;4945486;42.700915;-73.1087148;Massachusetts;MA;United States;US
23e510b3;My Morning Jacket;11-08-2017;The Pavilion at Montage Mountain;1bd4c934;Scranton;5211303;41.408969;-75.6624122;Pennsylvania;PA;United States;US
63e51ac7;My Morning Jacket;10-08-2017;EXPRESS LIVE!;7bd5de0c;Columbus;4509177;39.9611755;-82.9987942;Ohio;OH;United States;US
be449f2;My Morning Jacket;16-07-2017;Lakeview Amphitheater;bd591e6;Syracuse;5140405;43.0481221;-76.1474244;New York;NY;United States;US
33e45495;My Morning Jacket;15-07-2017;Forest Hills Stadium;1bd26dfc;Queens;5133266;40.7498243;-73.7976337;New York;NY;United States;US
3e45da3;My Morning Jacket;14-07-2017;Merriweather Post Pavilion;53d61ff5;Columbia;4352053;39.2403841;-76.8394184;Maryland;MD;United States;US
43e46fbf;My Morning Jacket;12-07-2017;The Green at Shelburne Museum;3bd65c88;Shelburne;5241006;44.3806065;-73.227626;Vermont;VT;United States;US
6be47662;My Morning Jacket;11-07-2017;Thompson's Point;13d5a1e1;Portland;4975802;43.661471;-70.2553259;Maine;ME;United States;US
4be407b6;My Morning Jacket;09-07-2017;Red Hat Amphitheater;4bd4afea;Raleigh;4487042;35.772096;-78.6386145;North Carolina;NC;United States;US
13e40de5;My Morning Jacket;08-07-2017;Charlotte Metro Credit Union Amphitheatre;4bd537f6;Charlotte;4460243;35.2270869;-80.8431268;North Carolina;NC;United States;US
7be41a78;My Morning Jacket;07-07-2017;Ascend Amphitheater;6bd5a28e;Nashville;4644585;36.1658899;-86.7844432;Tennessee;TN;United States;US
2be4f4ae;My Morning Jacket;24-06-2017;Double JJ Ranch;73d67e5d;Rothbury;5007689;43.5072317;-86.3475717;Michigan;MI;United States;US
1be4fd0c;My Morning Jacket;23-06-2017;Jacobs Pavilion at Nautica;2bd78062;Cleveland;5150529;41.4994954;-81.6954088;Ohio;OH;United States;US
23e48443;My Morning Jacket;22-06-2017;PNC Pavilion at Riverbend;2bd6c892;Cincinnati;4508722;39.1620036;-84.4568863;Ohio;OH;United States;US
1befa9a4;My Morning Jacket;05-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
53efbfa5;My Morning Jacket;03-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
13ee4171;My Morning Jacket;02-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
4be1d306;My Morning Jacket;31-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
63e1da6b;My Morning Jacket;30-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
43e1df23;My Morning Jacket;29-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
5be50bd4;My Morning Jacket;12-08-2017;MASS MoCA;7bd73680;North Adams;4945486;42.700915;-73.1087148;Massachusetts;MA;United States;US
23e510b3;My Morning Jacket;11-08-2017;The Pavilion at Montage Mountain;1bd4c934;Scranton;5211303;41.408969;-75.6624122;Pennsylvania;PA;United States;US
63e51ac7;My Morning Jacket;10-08-2017;EXPRESS LIVE!;7bd5de0c;Columbus;4509177;39.9611755;-82.9987942;Ohio;OH;United States;US
be449f2;My Morning Jacket;16-07-2017;Lakeview Amphitheater;bd591e6;Syracuse;5140405;43.0481221;-76.1474244;New York;NY;United States;US
33e45495;My Morning Jacket;15-07-2017;Forest Hills Stadium;1bd26dfc;Queens;5133266;40.7498243;-73.7976337;New York;NY;United States;US
3e45da3;My Morning Jacket;14-07-2017;Merriweather Post Pavilion;53d61ff5;Columbia;4352053;39.2403841;-76.8394184;Maryland;MD;United States;US
43e46fbf;My Morning Jacket;12-07-2017;The Green at Shelburne Museum;3bd65c88;Shelburne;5241006;44.3806065;-73.227626;Vermont;VT;United States;US
6be47662;My Morning Jacket;11-07-2017;Thompson's Point;13d5a1e1;Portland;4975802;43.661471;-70.2553259;Maine;ME;United States;US
4be407b6;My Morning Jacket;09-07-2017;Red Hat Amphitheater;4bd4afea;Raleigh;4487042;35.772096;-78.6386145;North Carolina;NC;United States;US
13e40de5;My Morning Jacket;08-07-2017;Charlotte Metro Credit Union Amphitheatre;4bd537f6;Charlotte;4460243;35.2270869;-80.8431268;North Carolina;NC;United States;US
7be41a78;My Morning Jacket;07-07-2017;Ascend Amphitheater;6bd5a28e;Nashville;4644585;36.1658899;-86.7844432;Tennessee;TN;United States;US
2be4f4ae;My Morning Jacket;24-06-2017;Double JJ Ranch;73d67e5d;Rothbury;5007689;43.5072317;-86.3475717;Michigan;MI;United States;US
1be4fd0c;My Morning Jacket;23-06-2017;Jacobs Pavilion at Nautica;2bd78062;Cleveland;5150529;41.4994954;-81.6954088;Ohio;OH;United States;US
23e48443;My Morning Jacket;22-06-2017;PNC Pavilion at Riverbend;2bd6c892;Cincinnati;4508722;39.1620036;-84.4568863;Ohio;OH;United States;US
1befa9a4;My Morning Jacket;05-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
53efbfa5;My Morning Jacket;03-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
13ee4171;My Morning Jacket;02-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
4be1d306;My Morning Jacket;31-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
63e1da6b;My Morning Jacket;30-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
43e1df23;My Morning Jacket;29-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
5be50bd4;My Morning Jacket;12-08-2017;MASS MoCA;7bd73680;North Adams;4945486;42.700915;-73.1087148;Massachusetts;MA;United States;US
23e510b3;My Morning Jacket;11-08-2017;The Pavilion at Montage Mountain;1bd4c934;Scranton;5211303;41.408969;-75.6624122;Pennsylvania;PA;United States;US
63e51ac7;My Morning Jacket;10-08-2017;EXPRESS LIVE!;7bd5de0c;Columbus;4509177;39.9611755;-82.9987942;Ohio;OH;United States;US
be449f2;My Morning Jacket;16-07-2017;Lakeview Amphitheater;bd591e6;Syracuse;5140405;43.0481221;-76.1474244;New York;NY;United States;US
33e45495;My Morning Jacket;15-07-2017;Forest Hills Stadium;1bd26dfc;Queens;5133266;40.7498243;-73.7976337;New York;NY;United States;US
3e45da3;My Morning Jacket;14-07-2017;Merriweather Post Pavilion;53d61ff5;Columbia;4352053;39.2403841;-76.8394184;Maryland;MD;United States;US
43e46fbf;My Morning Jacket;12-07-2017;The Green at Shelburne Museum;3bd65c88;Shelburne;5241006;44.3806065;-73.227626;Vermont;VT;United States;US
6be47662;My Morning Jacket;11-07-2017;Thompson's Point;13d5a1e1;Portland;4975802;43.661471;-70.2553259;Maine;ME;United States;US
4be407b6;My Morning Jacket;09-07-2017;Red Hat Amphitheater;4bd4afea;Raleigh;4487042;35.772096;-78.6386145;North Carolina;NC;United States;US
13e40de5;My Morning Jacket;08-07-2017;Charlotte Metro Credit Union Amphitheatre;4bd537f6;Charlotte;4460243;35.2270869;-80.8431268;North Carolina;NC;United States;US
7be41a78;My Morning Jacket;07-07-2017;Ascend Amphitheater;6bd5a28e;Nashville;4644585;36.1658899;-86.7844432;Tennessee;TN;United States;US
2be4f4ae;My Morning Jacket;24-06-2017;Double JJ Ranch;73d67e5d;Rothbury;5007689;43.5072317;-86.3475717;Michigan;MI;United States;US
1be4fd0c;My Morning Jacket;23-06-2017;Jacobs Pavilion at Nautica;2bd78062;Cleveland;5150529;41.4994954;-81.6954088;Ohio;OH;United States;US
23e48443;My Morning Jacket;22-06-2017;PNC Pavilion at Riverbend;2bd6c892;Cincinnati;4508722;39.1620036;-84.4568863;Ohio;OH;United States;US
1befa9a4;My Morning Jacket;05-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
53efbfa5;My Morning Jacket;03-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
13ee4171;My Morning Jacket;02-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
4be1d306;My Morning Jacket;31-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
63e1da6b;My Morning Jacket;30-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
43e1df23;My Morning Jacket;29-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
5be50bd4;My Morning Jacket;12-08-2017;MASS MoCA;7bd73680;North Adams;4945486;42.700915;-73.1087148;Massachusetts;MA;United States;US
23e510b3;My Morning Jacket;11-08-2017;The Pavilion at Montage Mountain;1bd4c934;Scranton;5211303;41.408969;-75.6624122;Pennsylvania;PA;United States;US
63e51ac7;My Morning Jacket;10-08-2017;EXPRESS LIVE!;7bd5de0c;Columbus;4509177;39.9611755;-82.9987942;Ohio;OH;United States;US
be449f2;My Morning Jacket;16-07-2017;Lakeview Amphitheater;bd591e6;Syracuse;5140405;43.0481221;-76.1474244;New York;NY;United States;US
33e45495;My Morning Jacket;15-07-2017;Forest Hills Stadium;1bd26dfc;Queens;5133266;40.7498243;-73.7976337;New York;NY;United States;US
3e45da3;My Morning Jacket;14-07-2017;Merriweather Post Pavilion;53d61ff5;Columbia;4352053;39.2403841;-76.8394184;Maryland;MD;United States;US
43e46fbf;My Morning Jacket;12-07-2017;The Green at Shelburne Museum;3bd65c88;Shelburne;5241006;44.3806065;-73.227626;Vermont;VT;United States;US
6be47662;My Morning Jacket;11-07-2017;Thompson's Point;13d5a1e1;Portland;4975802;43.661471;-70.2553259;Maine;ME;United States;US
4be407b6;My Morning Jacket;09-07-2017;Red Hat Amphitheater;4bd4afea;Raleigh;4487042;35.772096;-78.6386145;North Carolina;NC;United States;US
13e40de5;My Morning Jacket;08-07-2017;Charlotte Metro Credit Union Amphitheatre;4bd537f6;Charlotte;4460243;35.2270869;-80.8431268;North Carolina;NC;United States;US
7be41a78;My Morning Jacket;07-07-2017;Ascend Amphitheater;6bd5a28e;Nashville;4644585;36.1658899;-86.7844432;Tennessee;TN;United States;US
2be4f4ae;My Morning Jacket;24-06-2017;Double JJ Ranch;73d67e5d;Rothbury;5007689;43.5072317;-86.3475717;Michigan;MI;United States;US
1be4fd0c;My Morning Jacket;23-06-2017;Jacobs Pavilion at Nautica;2bd78062;Cleveland;5150529;41.4994954;-81.6954088;Ohio;OH;United States;US
23e48443;My Morning Jacket;22-06-2017;PNC Pavilion at Riverbend;2bd6c892;Cincinnati;4508722;39.1620036;-84.4568863;Ohio;OH;United States;US
1befa9a4;My Morning Jacket;05-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
53efbfa5;My Morning Jacket;03-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
13ee4171;My Morning Jacket;02-03-2018;Hard Rock Hotel & Casino;63d51e17;Punta Cana;3510573;18.5166667;-68.3666667;La Altagracia;10;Dominican Republic;DO
4be1d306;My Morning Jacket;31-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
63e1da6b;My Morning Jacket;30-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
43e1df23;My Morning Jacket;29-12-2017;1st Bank Center;63d7aeff;Broomfield;5415035;39.9205411;-105.0866504;Colorado;CO;United States;US
5be50bd4;My Morning Jacket;12-08-2017;MASS MoCA;7bd73680;North Adams;4945486;42.700915;-73.1087148;Massachusetts;MA;United States;US
23e510b3;My Morning Jacket;11-08-2017;The Pavilion at Montage Mountain;1bd4c934;Scranton;5211303;41.408969;-75.6624122;Pennsylvania;PA;United States;US
63e51ac7;My Morning Jacket;10-08-2017;EXPRESS LIVE!;7bd5de0c;Columbus;4509177;39.9611755;-82.9987942;Ohio;OH;United States;US
be449f2;My Morning Jacket;16-07-2017;Lakeview Amphitheater;bd591e6;Syracuse;5140405;43.0481221;-76.1474244;New York;NY;United States;US
33e45495;My Morning Jacket;15-07-2017;Forest Hills Stadium;1bd26dfc;Queens;5133266;40.7498243;-73.7976337;New York;NY;United States;US
3e45da3;My Morning Jacket;14-07-2017;Merriweather Post Pavilion;53d61ff5;Columbia;4352053;39.2403841;-76.8394184;Maryland;MD;United States;US
43e46fbf;My Morning Jacket;12-07-2017;The Green at Shelburne Museum;3bd65c88;Shelburne;5241006;44.3806065;-73.227626;Vermont;VT;United States;US
6be47662;My Morning Jacket;11-07-2017;Thompson's Point;13d5a1e1;Portland;4975802;43.661471;-70.2553259;Maine;ME;United States;US
4be407b6;My Morning Jacket;09-07-2017;Red Hat Amphitheater;4bd4afea;Raleigh;4487042;35.772096;-78.6386145;North Carolina;NC;United States;US
13e40de5;My Morning Jacket;08-07-2017;Charlotte Metro Credit Union Amphitheatre;4bd537f6;Charlotte;4460243;35.2270869;-80.8431268;North Carolina;NC;United States;US
7be41a78;My Morning Jacket;07-07-2017;Ascend Amphitheater;6bd5a28e;Nashville;4644585;36.1658899;-86.7844432;Tennessee;TN;United States;US
2be4f4ae;My Morning Jacket;24-06-2017;Double JJ Ranch;73d67e5d;Rothbury;5007689;43.5072317;-86.3475717;Michigan;MI;United States;US
1be4fd0c;My Morning Jacket;23-06-2017;Jacobs Pavilion at Nautica;2bd78062;Cleveland;5150529;41.4994954;-81.6954088;Ohio;OH;United States;US
23e48443;My Morning Jacket;22-06-2017;PNC Pavilion at Riverbend;2bd6c892;Cincinnati;4508722;39.1620036;-84.4568863;Ohio;OH;United States;US
1bf81590;My Morning Jacket;07-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
53f823a9;My Morning Jacket;05-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
2bf82406;My Morning Jacket;04-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
3fa9193;My Morning Jacket;28-10-2016;Spirit of the Suwannee Music Park;23d638ab;Live Oak;4162462;30.5796374;-85.8646562;Florida;FL;United States;US
5bfa9bf0;My Morning Jacket;27-10-2016;Thomas Wolfe Auditorium;13d6d595;Asheville;4453066;35.6009452;-82.554015;North Carolina;NC;United States;US
7bfaa2c8;My Morning Jacket;26-10-2016;Tivoli Theatre;7bd65688;Chattanooga;4612862;35.0456297;-85.3096801;Tennessee;TN;United States;US
5bfab770;My Morning Jacket;23-10-2016;Shoreline Amphitheatre;5bd6d7b4;Mountain View;5375481;32.6992189;-117.1128086;California;CA;United States;US
63fabe5b;My Morning Jacket;22-10-2016;Shoreline Amphitheatre;5bd6d7b4;Mountain View;5375481;32.6992189;-117.1128086;California;CA;United States;US
73fc2695;My Morning Jacket;27-08-2016;Oak Ridge Estate;43d48bab;Arrington;4744791;37.6840306;-78.9011326;Virginia;VA;United States;US
4bfef76e;My Morning Jacket;29-05-2016;Red Rocks Amphitheatre;7bd63674;Morrison;5431916;39.6535988;-105.1910996;Colorado;CO;United States;US
4bfefff6;My Morning Jacket;28-05-2016;Red Rocks Amphitheatre;7bd63674;Morrison;5431916;39.6535988;-105.1910996;Colorado;CO;United States;US
23fe887b;My Morning Jacket;26-05-2016;Farm Bureau Insurance Lawn at White River State Park;6bd4aa26;Indianapolis;4259418;39.7683765;-86.1580423;Indiana;IN;United States;US
4bf15bb2;My Morning Jacket;14-05-2016;Centennial Olympic Park;53d6c3c9;Atlanta;4180439;33.7489954;-84.3879824;Georgia;GA;United States;US
23f15c5b;My Morning Jacket;13-05-2016;Iroquois Amphitheater;3bd7a85c;Louisville;4299276;38.2542376;-85.759407;Kentucky;KY;United States;US
4bf167f6;My Morning Jacket;12-05-2016;Iroquois Amphitheater;3bd7a85c;Louisville;4299276;38.2542376;-85.759407;Kentucky;KY;United States;US
7bf10e98;My Morning Jacket;02-05-2016;ACL Live at The Moody Theater;73d2e689;Austin;4671654;30.267153;-97.7430608;Texas;TX;United States;US
63f12e7f;My Morning Jacket;29-04-2016;Fair Grounds Race Course;bd6c576;New Orleans;4335045;29.955;-90.075;Louisiana;LA;United States;US
13f1311d;My Morning Jacket;28-04-2016;Revention Music Center;63d5860b;Houston;4699066;29.7632836;-95.3632715;Texas;TX;United States;US
5bf13bcc;My Morning Jacket;27-04-2016;The Criterion;3bd5d00c;Oklahoma City;4544349;35.4675602;-97.5164276;Oklahoma;OK;United States;US
1bf2ad78;My Morning Jacket;28-11-2015;Beacon Theatre;bd6c9ba;New York;5128581;40.7142691;-74.0059729;New York;NY;United States;US
1bf81590;My Morning Jacket;07-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
53f823a9;My Morning Jacket;05-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
2bf82406;My Morning Jacket;04-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
3fa9193;My Morning Jacket;28-10-2016;Spirit of the Suwannee Music Park;23d638ab;Live Oak;4162462;30.5796374;-85.8646562;Florida;FL;United States;US
5bfa9bf0;My Morning Jacket;27-10-2016;Thomas Wolfe Auditorium;13d6d595;Asheville;4453066;35.6009452;-82.554015;North Carolina;NC;United States;US
7bfaa2c8;My Morning Jacket;26-10-2016;Tivoli Theatre;7bd65688;Chattanooga;4612862;35.0456297;-85.3096801;Tennessee;TN;United States;US
5bfab770;My Morning Jacket;23-10-2016;Shoreline Amphitheatre;5bd6d7b4;Mountain View;5375481;32.6992189;-117.1128086;California;CA;United States;US
63fabe5b;My Morning Jacket;22-10-2016;Shoreline Amphitheatre;5bd6d7b4;Mountain View;5375481;32.6992189;-117.1128086;California;CA;United States;US
73fc2695;My Morning Jacket;27-08-2016;Oak Ridge Estate;43d48bab;Arrington;4744791;37.6840306;-78.9011326;Virginia;VA;United States;US
4bfef76e;My Morning Jacket;29-05-2016;Red Rocks Amphitheatre;7bd63674;Morrison;5431916;39.6535988;-105.1910996;Colorado;CO;United States;US
4bfefff6;My Morning Jacket;28-05-2016;Red Rocks Amphitheatre;7bd63674;Morrison;5431916;39.6535988;-105.1910996;Colorado;CO;United States;US
23fe887b;My Morning Jacket;26-05-2016;Farm Bureau Insurance Lawn at White River State Park;6bd4aa26;Indianapolis;4259418;39.7683765;-86.1580423;Indiana;IN;United States;US
4bf15bb2;My Morning Jacket;14-05-2016;Centennial Olympic Park;53d6c3c9;Atlanta;4180439;33.7489954;-84.3879824;Georgia;GA;United States;US
23f15c5b;My Morning Jacket;13-05-2016;Iroquois Amphitheater;3bd7a85c;Louisville;4299276;38.2542376;-85.759407;Kentucky;KY;United States;US
4bf167f6;My Morning Jacket;12-05-2016;Iroquois Amphitheater;3bd7a85c;Louisville;4299276;38.2542376;-85.759407;Kentucky;KY;United States;US
7bf10e98;My Morning Jacket;02-05-2016;ACL Live at The Moody Theater;73d2e689;Austin;4671654;30.267153;-97.7430608;Texas;TX;United States;US
63f12e7f;My Morning Jacket;29-04-2016;Fair Grounds Race Course;bd6c576;New Orleans;4335045;29.955;-90.075;Louisiana;LA;United States;US
13f1311d;My Morning Jacket;28-04-2016;Revention Music Center;63d5860b;Houston;4699066;29.7632836;-95.3632715;Texas;TX;United States;US
5bf13bcc;My Morning Jacket;27-04-2016;The Criterion;3bd5d00c;Oklahoma City;4544349;35.4675602;-97.5164276;Oklahoma;OK;United States;US
1bf2ad78;My Morning Jacket;28-11-2015;Beacon Theatre;bd6c9ba;New York;5128581;40.7142691;-74.0059729;New York;NY;United States;US
1bf81590;My Morning Jacket;07-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
53f823a9;My Morning Jacket;05-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
2bf82406;My Morning Jacket;04-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
3fa9193;My Morning Jacket;28-10-2016;Spirit of the Suwannee Music Park;23d638ab;Live Oak;4162462;30.5796374;-85.8646562;Florida;FL;United States;US
5bfa9bf0;My Morning Jacket;27-10-2016;Thomas Wolfe Auditorium;13d6d595;Asheville;4453066;35.6009452;-82.554015;North Carolina;NC;United States;US
7bfaa2c8;My Morning Jacket;26-10-2016;Tivoli Theatre;7bd65688;Chattanooga;4612862;35.0456297;-85.3096801;Tennessee;TN;United States;US
5bfab770;My Morning Jacket;23-10-2016;Shoreline Amphitheatre;5bd6d7b4;Mountain View;5375481;32.6992189;-117.1128086;California;CA;United States;US
63fabe5b;My Morning Jacket;22-10-2016;Shoreline Amphitheatre;5bd6d7b4;Mountain View;5375481;32.6992189;-117.1128086;California;CA;United States;US
73fc2695;My Morning Jacket;27-08-2016;Oak Ridge Estate;43d48bab;Arrington;4744791;37.6840306;-78.9011326;Virginia;VA;United States;US
4bfef76e;My Morning Jacket;29-05-2016;Red Rocks Amphitheatre;7bd63674;Morrison;5431916;39.6535988;-105.1910996;Colorado;CO;United States;US
4bfefff6;My Morning Jacket;28-05-2016;Red Rocks Amphitheatre;7bd63674;Morrison;5431916;39.6535988;-105.1910996;Colorado;CO;United States;US
23fe887b;My Morning Jacket;26-05-2016;Farm Bureau Insurance Lawn at White River State Park;6bd4aa26;Indianapolis;4259418;39.7683765;-86.1580423;Indiana;IN;United States;US
4bf15bb2;My Morning Jacket;14-05-2016;Centennial Olympic Park;53d6c3c9;Atlanta;4180439;33.7489954;-84.3879824;Georgia;GA;United States;US
23f15c5b;My Morning Jacket;13-05-2016;Iroquois Amphitheater;3bd7a85c;Louisville;4299276;38.2542376;-85.759407;Kentucky;KY;United States;US
4bf167f6;My Morning Jacket;12-05-2016;Iroquois Amphitheater;3bd7a85c;Louisville;4299276;38.2542376;-85.759407;Kentucky;KY;United States;US
7bf10e98;My Morning Jacket;02-05-2016;ACL Live at The Moody Theater;73d2e689;Austin;4671654;30.267153;-97.7430608;Texas;TX;United States;US
63f12e7f;My Morning Jacket;29-04-2016;Fair Grounds Race Course;bd6c576;New Orleans;4335045;29.955;-90.075;Louisiana;LA;United States;US
13f1311d;My Morning Jacket;28-04-2016;Revention Music Center;63d5860b;Houston;4699066;29.7632836;-95.3632715;Texas;TX;United States;US
5bf13bcc;My Morning Jacket;27-04-2016;The Criterion;3bd5d00c;Oklahoma City;4544349;35.4675602;-97.5164276;Oklahoma;OK;United States;US
1bf2ad78;My Morning Jacket;28-11-2015;Beacon Theatre;bd6c9ba;New York;5128581;40.7142691;-74.0059729;New York;NY;United States;US
1bf81590;My Morning Jacket;07-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
53f823a9;My Morning Jacket;05-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
2bf82406;My Morning Jacket;04-02-2017;Hard Rock Hotel;13d4e51d;Riviera Maya;6545003;20.5080683383508;-87.2286987304688;Quintana Roo;ROO;Mexico;MX
3fa9193;My Morning Jacket;28-10-2016;Spirit of the Suwannee Music Park;23d638ab;Live Oak;4162462;30.5796374;-85.8646562;Florida;FL;United States;US
5bfa9bf0;My Morning Jacket;27-10-2016;Thomas Wolfe Auditorium;13d6d595;Asheville;4453066;35.6009452;-82.554015;North Carolina;NC;United States;US
7bfaa2c8;My Morning Jacket;26-10-2016;Tivoli Theatre;7bd65688;Chattanooga;4612862;35.0456297;-85.3096801;Tennessee;TN;United States;US
5bfab770;My Morning Jacket;23-10-2016;Shoreline Amphitheatre;5bd6d7b4;Mountain View;5375481;32.6992189;-117.1128086;California;CA;United States;US
63fabe5b;My Morning Jacket;22-10-2016;Shoreline Amphitheatre;5bd6d7b4;Mountain View;5375481;32.6992189;-117.1128086;California;CA;United States;US
73fc2695;My Morning Jacket;27-08-2016;Oak Ridge Estate;43d48bab;Arrington;4744791;37.6840306;-78.9011326;Virginia;VA;United States;US
4bfef76e;My Morning Jacket;29-05-2016;Red Rocks Amphitheatre;7bd63674;Morrison;5431916;39.6535988;-105.1910996;Colorado;CO;United States;US
4bfefff6;My Morning Jacket;28-05-2016;Red Rocks Amphitheatre;7bd63674;Morrison;5431916;39.6535988;-105.1910996;Colorado;CO;United States;US
23fe887b;My Morning Jacket;26-05-2016;Farm Bureau Insurance Lawn at White River State Park;6bd4aa26;Indianapolis;4259418;39.7683765;-86.1580423;Indiana;IN;United States;US
4bf15bb2;My Morning Jacket;14-05-2016;Centennial Olympic Park;53d6c3c9;Atlanta;4180439;33.7489954;-84.3879824;Georgia;GA;United States;US
23f15c5b;My Morning Jacket;13-05-2016;Iroquois Amphitheater;3bd7a85c;Louisville;4299276;38.2542376;-85.759407;Kentucky;KY;United States;US
4bf167f6;My Morning Jacket;12-05-2016;Iroquois Amphitheater;3bd7a85c;Louisville;4299276;38.2542376;-85.759407;Kentucky;KY;United States;US
7bf10e98;My Morning Jacket;02-05-2016;ACL Live at The Moody Theater;73d2e689;Austin;4671654;30.267153;-97.7430608;Texas;TX;United States;US
63f12e7f;My Morning Jacket;29-04-2016;Fair Grounds Race Course;bd6c576;New Orleans;4335045;29.955;-90.075;Louisiana;LA;United States;US
